Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP2-Ref-SPA0-V17,INDO,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,2.55,2.70,3.01,3.07,3.06,3.05,2.99,2.93,2.87,2.82,2.77
IMAGE,SSP2-Ref-SPA0-V17,INDO,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.81,2.83,2.74,2.07,1.62,0.71,0.12,0.08,0.09,0.07,0.05
IMAGE,SSP2-Ref-SPA0-V17,INDO,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
IMAGE,SSP2-Ref-SPA0-V17,INDO,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-Ref-SPA0-V17,INDO,Emissions|CH4|Waste,Mt CH4/yr,1.91,2.06,2.39,2.63,2.76,2.79,2.71,2.59,2.43,2.24,2.05
IMAGE,SSP2-Ref-SPA0-V17,JAP,Emissions|CH4,Mt CH4/yr,1.99,1.97,1.90,1.87,1.85,1.86,1.90,1.87,1.73,1.54,1.44
IMAGE,SSP2-Ref-SPA0-V17,JAP,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00
IMAGE,SSP2-Ref-SPA0-V17,JAP,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01
IMAGE,SSP2-Ref-SPA0-V17,JAP,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00
IMAGE,SSP2-Ref-SPA0-V17,JAP,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00
IMAGE,SSP2-Ref-SPA0-V17,JAP,Emissions|CH4|Energy Supply,Mt CH4/yr,0.32,0.31,0.23,0.24,0.28,0.36,0.48,0.51,0.45,0.35,0.31
IMAGE,SSP2-Ref-SPA0-V17,JAP,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,0.37,0.35,0.27,0.28,0.31,0.39,0.50,0.54,0.47,0.37,0.33
IMAGE,SSP2-Ref-SPA0-V17,JAP,Emissions|CH4|Land Use,Mt CH4/yr,1.35,1.34,1.35,1.33,1.28,1.23,1.18,1.13,1.08,1.02,0.97
IMAGE,SSP2-Ref-SPA0-V17,JAP,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-Ref-SPA0-V17,JAP,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,1.34,1.33,1.34,1.32,1.27,1.23,1.18,1.13,1.07,1.01,0.96
IMAGE,SSP2-Ref-SPA0-V17,JAP,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.18,0.18,0.18,0.18,0.17,0.16,0.14,0.13,0.12,0.11,0.10
IMAGE,SSP2-Ref-SPA0-V17,JAP,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,0.41,0.41,0.41,0.39,0.37,0.34,0.32,0.30,0.27,0.25,0.23
IMAGE,SSP2-Ref-SPA0-V17,JAP,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.75,0.75,0.76,0.75,0.74,0.73,0.71,0.70,0.68,0.65,0.63
IMAGE,SSP2-Ref-SPA0-V17,JAP,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.00,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.01,0.01,0.02
IMAGE,SSP2-Ref-SPA0-V17,JAP,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-Ref-SPA0-V17,JAP,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-Ref-SPA0-V17,JAP,Emissions|CH4|Waste,Mt CH4/yr,0.26,0.26,0.27,0.26,0.25,0.23,0.21,0.19,0.17,0.15,0.14
IMAGE,SSP2-Ref-SPA0-V17,KOR,Emissions|CH4,Mt CH4/yr,1.88,1.94,2.00,2.16,2.12,2.01,1.99,1.92,1.67,1.55,1.59
IMAGE,SSP2-Ref-SPA0-V17,KOR,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00
